"id_barang";"nama_barang";"stok";"id_satuan";"id_jenis";"foto"
"BRG-0001";"Teh Pucuk Harum";"0";"2";"1";"d4f130cc51185c56c9effcfa0b4a30a0.jpg"
"BRG-0002";"Aqua";"0";"1";"1";"aqua.jpg"
"BRG-0003";"ari";"20";"4";"1";"foto_3x4-min.jpg"
"id_barang_keluar";"Mat_Code";"id_user";"jumlah_keluar";"tgl_keluar"
"BRG-K-0001";"40000710";"USR-001";"20";"2020-09-15"
"BRG-K-0002";"40000710";"USR-002";"150";"2023-02-26"
"BRG-K-0003";"40000710";"Aldo";"30";"2023-02-27"
"id_barang_masuk";"Mat_Code";"id_user";"jumlah_masuk";"tgl_masuk"
"BRG-M-0002";"40000046";"USR-0-4";"1";"2023-02-26"
"BRG-M-0003";"40000710";"USR-0-4";"100";"2023-02-26"
"BRG-M-0004";"222";;"0";"2023-02-26"
"BRG-M-0005";"2222";;"0";"2023-02-26"
"BRG-M-0006";;;"0";"2023-02-26"
"id_jenis";"nama_jenis";"ket"
"1";"Minuman";
"3";"Kemasan";
"id_satuan";"nama_satuan";"ket"
"1";"Box";
"2";"Unit";
"4";"Pack";
"Mat_Code";"Material_Description";"UOM";"Location";"Stock"
"80000100";"SEAL O-RING PN.8T5918 - 136DG01/02";"PC";"R04.B3.03";"0"
"80000147";"SPACER PN.64 SS316 - 112P07";"EA";"R05.B5.03";"0"
"80000148";"SPACER PN.64 SS316 - 112P16";"EA";"R05.B5.03";"0"
"80000154";"CYL.BOLT M10X20 (L101591) 101P02";"EA";"R08.B4.03";"0"
"80000155";"BOLT M10 X 20MM (L101591) 101P02";"EA";"R08.B4.04";"0"
"80000156";"BOLT M10 X 25MM (L101450) 101P02";"EA";"R08.B4.04";"0"
"80000166";"BOLT M6 X 40MM (L101468) 101P01/03";"EA";"R08.B4.04";"0"
"80000167";"CYL.BOLT M8X120 (L110048) 101P02";"EA";"R08.B4.03";"0"
"80000170";"BOLT M8 X 25MM (L101579) 101P02";"EA";"R08.B4.04";"0"
"80000181";"SEAL O-RING PN.2911911 - 136DG01/02";"PC";"R04.B3.03";"0"
"80000185";"SEAL O-RING PN.3756181 - 136DG01/02";"PC";"R04.B3.03";"0"
"80000187";"SEAL O-RING PN.2287088 - 136DG01/02";"PC";"R04.B3.03";"0"
"80000188";"SEAL O-RING PN.2594600 - 136DG01/02";"PC";"R04.B3.03";"0"
"80000189";"SEAL PN.6V3349 - 136DG01/02";"PC";"R04.B3.03";"0"
"80000204";"BEARING D55/120X43 (L111678) 101P02";"EA";"R08.B4.01";"0"
"80000205";"BEARING D80/170X58 (2001033) 101P01/03";"EA";"R02.B4.04";"0"
"80000206";"BEARING D65/140X33 (L111677) 101P02";"EA";"R08.B4.01";"0"
"80000227";"BEARING D160/270X86 (L112795) 101P01/03";"EA";"R02.B5.04";"0"
"80000228";"BEARING D170/280X88 (L112794) 101P01/03";"EA";"R02.B5.04";"0"
"80000229";"BEARING D80/170X58 (2001032) 101P01/03";"EA";"R02.B4.04";"0"
"80000230";"BEARING D40/60X7,5 (L106040) 101P02";"EA";"R08.B4.04";"0"
"80000231";"BEARING D60/85X8,8 (L109460) 101P01/03";"EA";"R08.B4.04";"0"
"80000232";"BEARING D120/215X76 (L111676) 101P02";"EA";"R02.B5.04";"0"
"80000233";"BEARING D130/230X64 (L108958) 101P02";"EA";"R08.B4.01";"0"
"80000234";"BEARING BUSH D42/52X48 (D227759) 101P02";"EA";"R08.B3.02";"0"
"80000235";"BUSH D272/296X62 (1462977) 101P01/03";"EA";"R08.B4.01";"0"
"80000236";"BUSH D56/70X60 (D227908) 101P01/03";"EA";"R08.B4.02";"0"
"80000237";"BUSH D80/105X18 (2001042) 101P01/03";"EA";"R08.B4.03";"0"
"80000238";"BUSH D84/99X30 (1395441) 101P01/03";"EA";"R08.B4.02";"0"
"80000253";"BUTT VLV DN250 DISC CF8 FLANGE ARITA";"EA";"R21.B2.02";"0"
"80000339";"""SORF FLANGE 8"""" CL150 SS304L""";"EA";"A9.07";"0"
"80000340";"""B.VALVE 8"""" CL150 FERF SS304L""";"EA";"FL 03";"0"
"80000348";"CIRCLIP B100 (L113070) 101P01/03";"EA";"R08.B4.03";"0"
"80000349";"CIRCLIP B95 (L112409) 101P02";"EA";"R08.B4.03";"0"
"80000350";"CIRCLIP D24X3 (E153641) 101P02";"EA";"R08.B4.03";"0"
"80000351";"CIRCLIP D34X5 (E142304) 101P01/03";"EA";"R08.B4.03";"0"
"80000352";"CORE AS-OCLR PN.4910364 - 136DG01/02";"EA";"R04.B1.01";"0"
"80000354";"SEAL-O-RING PN.2154639 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000355";"SEAL-O-RING PN.2287099 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000356";"SEAL-O-RING PN.2287101 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000357";"SEAL-O-RING PN.2287102 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000360";"SEAL-O-RING PN.2287103 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000361";"SEAL-O-RING PN.2287105 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000362";"SEAL-O-RING PN.2287106 - 136DG01/02";"EA";"R04.B3.03";"0"
"80000364";"SPRING D32/3,6X70X9,5 (E178698) 101P02";"EA";"R08.B4.03";"0"
"80000365";"""PIPE 1"""" X 6M PN10 GRP""";"EA";"FL 05";"0"
